,Despesas Orçamentárias,DOTAÇÃO INICIAL (d),DOTAÇÃO ATUALIZADA (e),DESPESAS EMPENHADAS NO BIMESTRE,DESPESAS EMPENHADAS ATÉ O BIMESTRE (f),% (b/total b),SALDO (g) =(e-f),DESPESAS LIQUIDADAS NO BIMESTRE,DESPESAS LIQUIDADAS ATÉ O BIMESTRE (h),% (d/total d),SALDO (i) = (e-h),Bimestre,Ano,tempo,base = ultimo periodo
junho 2019,Trabalho,10.545445946257688,10.036796950697187,0.3390504979482882,7.327717003675085,0.61,2573581.34,1.0556692772782306,3.1054164379310425,0.38,6584697.35,3.0,2019.0,2019-06-20,94.99835332762892
agosto 2019,Trabalho,10.513831648400943,10.006707536750723,-0.004033657014615057,7.301715510577982,0.53,2577424.77,1.097317096193598,4.193423775131203,0.38,5539129.66,4.0,2019.0,2019-08-20,95.28400620266395
outubro 2019,Trabalho,10.507519143879243,8.59019792407759,0.0992948497161057,7.396626410301536,0.47,1137965.99,1.174555945831113,5.365461989327727,0.39,3074503.52,5.0,2019.0,2019-10-20,95.34124908861676
dezembro 2019,Trabalho,10.333710592088636,8.310397290136082,-0.6691785227210111,6.605097701308484,0.37,1653200.09,1.3071995257776683,6.583909530428229,0.38,1673740.93,6.0,2019.0,2019-12-20,96.94484774587804
fevereiro 2020,Trabalho,8.689081600505338,8.689081600505338,6.752202297011498,6.752202297011498,0.82,1886372.1,0.9635338963858155,0.9635338963858155,0.39,7524091.78,1.0,2020.0,2020-02-20,97.3923412056326
abril 2020,Trabalho,8.709916541039478,8.709916541039478,0.0316646764393959,6.800057606684738,0.65,1855606.9,1.1431681525852107,2.1090124394537972,0.4,6413396.81,2.0,2020.0,2020-04-20,97.15936955453364
junho 2020,Trabalho,8.720282386913299,8.241117682639777,0.03109480096833571,6.839245292211941,0.55,1360431.3,0.9960905034504933,3.1076129207887333,0.38,4981751.98,3.0,2020.0,2020-06-20,97.04387569718891
agosto 2020,Trabalho,8.66803603583164,8.074000290014146,-0.13660558477626436,6.661663326761729,0.48,1378847.7,1.0213471729505714,4.110341265990208,0.38,3869672.94,4.0,2020.0,2020-08-20,97.62880501439999
outubro 2020,Trabalho,8.538492583997579,7.933155080213903,0.005076632025022702,6.567181666834831,0.42,1353816.25,0.9769939663000706,5.025906346483705,0.38,2881374.22,5.0,2020.0,2020-10-20,99.11
fevereiro 2017,Cultura,9.306213025618819,9.61447919135518,3.4406218931820356,3.4406218931820356,0.49,5407474.63,0.4154499804621976,0.4154499804621976,0.19,8057121.29,1.0,2017.0,2017-02-20,87.5866475177533
